,fluxes
EX_cpd08636_b,0.0
EX_cpd15302_b,0.0
EX_cpd11416_b,0.18178710505988974
EX_cpd00067_b,-15.508507075835798
EX_cpd00182_b,0.0
EX_cpd11576_b,0.0
EX_cpd04097_b,0.0
EX_cpd11597_b,0.0
EX_cpd11585_b,0.0
EX_cpd00412_b,0.0
EX_cpd11582_b,0.0
EX_cpd00012_b,0.0
EX_cpd11586_b,0.0
EX_cpd01030_b,0.0
EX_cpd01012_b,0.0
EX_cpd00208_b,0.0
EX_cpd00635_b,0.0
EX_cpd00246_b,0.0
EX_cpd00276_b,0.0
EX_cpd00082_b,0.0
EX_cpd00080_b,0.0
EX_cpd00001_b,17.44964583633709
EX_cpd00367_b,0.0
EX_cpd00058_b,-0.0014433275510908278
EX_cpd00184_b,0.0
EX_cpd00314_b,0.0
EX_cpd11595_b,0.0
EX_cpd01017_b,0.0
EX_cpd00013_b,0.0
EX_cpd00051_b,0.0
EX_cpd00064_b,0.0
EX_cpd00179_b,0.0
EX_cpd00100_b,0.0
EX_cpd11591_b,0.0
EX_cpd00060_b,0.0
EX_cpd00438_b,0.0
EX_cpd00249_b,0.0
EX_cpd11593_b,0.0
EX_cpd00654_b,0.0
EX_cpd00076_b,0.0
EX_cpd03198_b,0.0
EX_cpd01171_b,0.0
EX_cpd00176_b,0.0
EX_cpd15605_b,0.0
EX_cpd00264_b,0.0
EX_cpd00154_b,0.0
EX_cpd00637_b,0.0
EX_cpd00122_b,0.0
EX_cpd00035_b,-0.809774142246904
EX_cpd08306_b,0.0
EX_cpd15603_b,0.0
EX_cpd03696_b,0.0
EX_cpd00277_b,0.0
EX_cpd00118_b,0.0
EX_cpd00309_b,0.0
EX_cpd11580_b,0.0
EX_cpd01092_b,0.0
EX_cpd00220_b,0.0
EX_cpd03343_b,0.0
EX_cpd03279_b,0.0
EX_cpd00588_b,0.0
EX_cpd00423_b,0.0
EX_cpd00117_b,0.0
EX_cpd00307_b,0.0
EX_cpd00653_b,0.0
EX_cpd00254_b,-0.0014433275510908278
EX_cpd00138_b,0.0
EX_cpd00305_b,0.0
EX_cpd00159_b,0.0012235228310067438
EX_cpd00540_b,0.0
EX_cpd00009_b,-0.22580645161290303
EX_cpd15606_b,0.0
EX_cpd10516_b,-0.005773310204363311
EX_cpd00971_b,0.0
EX_cpd00030_b,-0.0014433275510908278
EX_cpd00149_b,-0.0014433275510908278
EX_cpd01914_b,0.0
EX_cpd00531_b,0.0
EX_cpd11583_b,0.0
EX_cpd11589_b,0.0
EX_cpd00027_b,0.0
EX_cpd00794_b,0.0
EX_cpd00226_b,0.0
EX_cpd08305_b,0.0
EX_cpd11588_b,0.0
EX_cpd00048_b,-0.03964599070713706
EX_cpd15604_b,0.0
EX_cpd00104_b,0.0
EX_cpd00007_b,-0.08943591856838695
EX_cpd03424_b,0.0
EX_cpd11592_b,0.0
EX_cpd11587_b,0.0
EX_cpd00092_b,0.0
EX_cpd11590_b,0.0
EX_cpd11581_b,0.0
EX_cpd00205_b,-0.0014433275510908278
EX_cpd11584_b,0.0
EX_cpd00158_b,0.0
EX_cpd00039_b,0.0
EX_cpd00121_b,0.0
EX_cpd00011_b,0.9453289255024017
EX_cpd00063_b,-0.0014433275510908278
EX_cpd00034_b,-0.0014433275510908278
EX_cpd00099_b,-0.0014433275510908278
rxn02201_c0nc,0.0
rxn07431_c0nc,0.0
rxn00836_c0nc,0.0
rxn00390_c0nc,0.0
rxn05318_c0nc,0.0
rxn11567_c0nc,0.0
rxn00423_c0nc,0.07855951605805778
rxn10298_c0nc,0.0
rxn00364_c0nc,-0.06727482244846242
rxn03408_c0nc,0.00020355722159094152
rxn02177_c0nc,0.0
rxn05250_c0nc,0.0
rxn05440_c0nc,0.00937116478924676
rxn00935_c0nc,0.0
rxn01673_c0nc,-0.002442617432329277
rxn02342_c0nc,0.2663523084210125
rxn01452_c0nc,0.0
rxn00642_c0nc,0.0
rxn00022_c0nc,0.0
rxn10297_c0nc,0.0
rxn02772_c0nc,0.0
rxn00973_c0nc,0.0
rxn02000_c0nc,0.0
rxn03239_c0nc,0.0
rxn02632_c0nc,0.0
rxn00322_c0nc,0.0
rxn05457_c0nc,0.0
rxn04271_c0nc,0.0
rxn13783_c0nc,0.11270800513713163
rxn10118_c0nc,0.0
rxn00557_c0nc,0.0
rxn05392_c0nc,0.00937116478924676
rxn00199_c0nc,0.0
rxn01358_c0nc,0.0
rxn10231_c0nc,0.0
rxn03086_c0nc,-0.00020355722159094152
rxn12637_c0nc,0.0
rxn13971_c0nc,0.0
rxn01219_c0nc,-0.002442617432329277
rxn05958_c0nc,0.0
rxn00519_c0nc,-0.43779089188101983
rxn00258_c0nc,-0.1874232957849352
rxn00800_c0nc,0.03225222517154083
rxn09177_c0nc,0.0017897261633525862
rxn00211_c0nc,0.0
rxn00179_c0nc,0.04173637381320263
rxn01210_c0nc,0.0
rxn00192_c0nc,0.0
rxn01218_c0nc,0.0
rxn05367_c0nc,0.00937116478924676
rxn03360_c0nc,0.0
rxn02898_c0nc,0.0017897261633526267
rxn01199_c0nc,0.0
rxn00545_c0nc,0.10534099626513742
rxn00771_c0nc,0.0
rxn08807_c0nc,0.0
rxn05614_c0nc,0.0
rxn10304_c0nc,0.0
rxn02316_c0nc,-0.2548778170181965
rxn00257_c0nc,0.0
rxn10344_c0nc,0.0
rxn01547_c0nc,-0.01170659972442711
rxn02320_c0nc,-0.009236219109791884
rxn03384_c0nc,0.0
rxn06488_c0nc,0.0
rxn01405_c0nc,-0.0008948630816763133
rxn02504_c0nc,0.0026845892450289266
rxn04082_c0nc,0.0
rxn04996_c0nc,0.023715843397731876
rxn00262_c0nc,0.0
rxn05404_c0nc,0.00937116478924676
rxn02796_c0nc,0.0
rxn10262_c0nc,0.0
rxn10126_c0nc,0.0
rxn10225_c0nc,0.0
rxn03463_c0nc,0.0
rxn01486_c0nc,0.00268458924502894
rxn00898_c0nc,0.0850044627353855
rxn05444_c0nc,0.00937116478924676
rxn05040_c0nc,0.005773310204363304
rxn05400_c0nc,0.00937116478924676
rxn00890_c0nc,0.0
rxn03030_c0nc,0.00020355722159094152
rxn01636_c0nc,0.0
rxn05235_c0nc,0.003957040240373429
rxn02090_c0nc,0.0
rxn05505_c0nc,0.0
rxn08556_c0nc,0.0
rxn01843_c0nc,0.0
rxn00816_c0nc,0.0
rxn02988_c0nc,0.0017897261633529043
rxn01021_c0nc,0.0
rxn00165_c0nc,0.0
rxn10228_c0nc,0.0
rxn01117_c0nc,0.0
rxn05814_c0nc,0.0
rxn05542_c0nc,0.0
rxn00539_c0nc,0.0
rxn00678_c0nc,0.0
rxn00001_c0nc,0.3745255311829953
rxn09685_c0nc,0.0
rxn01331_c0nc,0.0
rxn05545_c0nc,0.0
rxn11268_c0nc,0.0
rxn00710_c0nc,0.014765162888318617
rxn10317_c0nc,0.0
rxn01114_c0nc,-0.1312325047148807
rxn02305_c0nc,0.0008948630816763133
rxn00470_c0nc,0.0017897261633526265
rxn08817_c0nc,0.0
rxn00910_c0nc,-0.01995106812047226
rxn00953_c0nc,0.0
rxn11944_c0nc,0.0
rxn08296_c0nc,0.0
rxn05541_c0nc,0.0
rxn00717_c0nc,0.18291307486282332
rxn05647_c0nc,0.0
rxn01297_c0nc,0.0
rxn10254_c0nc,-0.0008142288863637661
rxn05459_c0nc,0.0
rxn05453_c0nc,0.0
rxn01682_c0nc,0.0
rxn08796_c0nc,0.0
rxn01604_c0nc,0.0
rxn06493_c0nc,0.0
rxn12846_c0nc,0.0
rxn00337_c0nc,0.07723137006089097
rxn01231_c0nc,0.0
rxn08308_c0nc,0.0
rxn00208_c0nc,0.0
rxn08823_c0nc,0.0
rxn05434_c0nc,0.00937116478924676
rxn05346_c0nc,0.0
rxn07680_c0nc,0.0
rxn05516_c0nc,0.0
rxn05142_c0nc,0.0
rxn05733_c0nc,0.07855951605805778
rxn00416_c0nc,0.0
rxn09206_c0nc,0.0
rxn12158_c0nc,0.0
rxn02376_c0nc,0.0
rxn05598_c0nc,0.0
rxn10147_c0nc,0.0
rxn09209_c0nc,0.0
rxn12512_c0nc,0.0
rxn08669_c0nc,-0.0029035151311947102
rxn00902_c0nc,0.04853273381476434
rxn00015_c0nc,0.0008948630816763133
rxn00658_c0nc,0.0
rxn06672_c0nc,0.0
rxn02961_c0nc,0.0
rxn00649_c0nc,0.0
rxn01739_c0nc,0.04388421217789002
rxn02400_c0nc,0.0
